Project ID,Monitoring Location ID,Activity ID,Activity Type,Activity Media Name,Activity Start Date,Activity Start Time,Activity Start Time Zone,Activity Depth/Height Measure,Activity Depth/Height Unit,Sample Collection Method ID,Sample Collection Equipment Name,Sample Collection Equipment Comment,Characteristic Name,Method Speciation,Result Detection Condition,Result Value,Result Unit,Result Qualifier,Result Sample Fraction,Result Status ID,Statistical Base Code,Result Value Type,Result Analytical Method ID,Result Analytical Method Context,Analysis Start Date,Analysis Start Time Zone,Analysis Start Time,Result Detection Limit Type,Result Detection Limit Value,Result Detection Limit Unit,Result Comment
RCS,VY1,VY1:20170324:Water:FM,Field Msr/Obs,Water,2017-03-24,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,55.10900115966797,deg F,,,Final,,Actual,,,2017-03-24,PST,20:00:00,,,,
RCS,VY1,VY1:20170324:Water:FM,Field Msr/Obs,Water,2017-03-24,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,54.92300033569336,deg F,,,Final,,Actual,,,2017-03-24,PST,22:00:00,,,,
RCS,VY1,VY1:20170325:Water:FM,Field Msr/Obs,Water,2017-03-25,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,54.64400100708008,deg F,,,Final,,Actual,,,2017-03-25,PST,00:00:00,,,,
RCS,VY1,VY1:20170325:Water:FM,Field Msr/Obs,Water,2017-03-25,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,54.45800018310547,deg F,,,Final,,Actual,,,2017-03-25,PST,02:00:00,,,,
RCS,VY1,VY1:20170325:Water:FM,Field Msr/Obs,Water,2017-03-25,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,54.27199935913086,deg F,,,Final,,Actual,,,2017-03-25,PST,04:00:00,,,,
RCS,VY1,VY1:20170325:Water:FM,Field Msr/Obs,Water,2017-03-25,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,53.5260009765625,deg F,,,Final,,Actual,,,2017-03-25,PST,06:00:00,,,,
RCS,VY1,VY1:20170325:Water:FM,Field Msr/Obs,Water,2017-03-25,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,52.77799987792969,deg F,,,Final,,Actual,,,2017-03-25,PST,08:00:00,,,,
RCS,VY1,VY1:20170325:Water:FM,Field Msr/Obs,Water,2017-03-25,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,52.96500015258789,deg F,,,Final,,Actual,,,2017-03-25,PST,10:00:00,,,,
RCS,VY1,VY1:20170325:Water:FM,Field Msr/Obs,Water,2017-03-25,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,54.27199935913086,deg F,,,Final,,Actual,,,2017-03-25,PST,12:00:00,,,,
RCS,VY1,VY1:20170325:Water:FM,Field Msr/Obs,Water,2017-03-25,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,56.959999084472656,deg F,,,Final,,Actual,,,2017-03-25,PST,14:00:00,,,,
RCS,VY1,VY1:20170325:Water:FM,Field Msr/Obs,Water,2017-03-25,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,57.42100143432617,deg F,,,Final,,Actual,,,2017-03-25,PST,16:00:00,,,,
RCS,VY1,VY1:20170325:Water:FM,Field Msr/Obs,Water,2017-03-25,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,56.867000579833984,deg F,,,Final,,Actual,,,2017-03-25,PST,18:00:00,,,,
RCS,VY1,VY1:20170325:Water:FM,Field Msr/Obs,Water,2017-03-25,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,56.12799835205078,deg F,,,Final,,Actual,,,2017-03-25,PST,20:00:00,,,,
RCS,VY1,VY1:20170325:Water:FM,Field Msr/Obs,Water,2017-03-25,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,55.29399871826172,deg F,,,Final,,Actual,,,2017-03-25,PST,22:00:00,,,,
RCS,VY1,VY1:20170326:Water:FM,Field Msr/Obs,Water,2017-03-26,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,54.55099868774414,deg F,,,Final,,Actual,,,2017-03-26,PST,00:00:00,,,,
RCS,VY1,VY1:20170326:Water:FM,Field Msr/Obs,Water,2017-03-26,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,53.43299865722656,deg F,,,Final,,Actual,,,2017-03-26,PST,02:00:00,,,,
RCS,VY1,VY1:20170326:Water:FM,Field Msr/Obs,Water,2017-03-26,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,52.96500015258789,deg F,,,Final,,Actual,,,2017-03-26,PST,04:00:00,,,,
RCS,VY1,VY1:20170326:Water:FM,Field Msr/Obs,Water,2017-03-26,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,53.058998107910156,deg F,,,Final,,Actual,,,2017-03-26,PST,06:00:00,,,,
RCS,VY1,VY1:20170326:Water:FM,Field Msr/Obs,Water,2017-03-26,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,52.77799987792969,deg F,,,Final,,Actual,,,2017-03-26,PST,08:00:00,,,,
RCS,VY1,VY1:20170326:Water:FM,Field Msr/Obs,Water,2017-03-26,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,53.24599838256836,deg F,,,Final,,Actual,,,2017-03-26,PST,10:00:00,,,,
RCS,VY1,VY1:20170326:Water:FM,Field Msr/Obs,Water,2017-03-26,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,54.73699951171875,deg F,,,Final,,Actual,,,2017-03-26,PST,12:00:00,,,,
RCS,VY1,VY1:20170326:Water:FM,Field Msr/Obs,Water,2017-03-26,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,54.92300033569336,deg F,,,Final,,Actual,,,2017-03-26,PST,14:00:00,,,,
RCS,VY1,VY1:20170326:Water:FM,Field Msr/Obs,Water,2017-03-26,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,55.10900115966797,deg F,,,Final,,Actual,,,2017-03-26,PST,16:00:00,,,,
RCS,VY1,VY1:20170326:Water:FM,Field Msr/Obs,Water,2017-03-26,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,55.01599884033203,deg F,,,Final,,Actual,,,2017-03-26,PST,18:00:00,,,,
